State,Incident Date,# Killed,Age
California,"September 2, 2019",1,Adult
Louisiana,"September 1, 2019",1,Adult
Mississippi,"September 1, 2019",1,Adult
Alabama,"September 1, 2019",1,Adult
Louisiana,"September 1, 2019",1,Adult
Illinois,"August 31, 2019",1,Adult
Michigan,"August 29, 2019",1,Adult
Virginia,"August 28, 2019",1,Adult
Illinois,"August 27, 2019",1,Adult
Louisiana,"August 27, 2019",1,Adult
Pennsylvania,"August 26, 2019",1,Adult
Pennsylvania,"August 26, 2019",1,Adult
Alabama,"August 25, 2019",1,Adult
Florida,"August 24, 2019",1,Adult
Alabama,"August 23, 2019",1,Adult
Florida,"August 23, 2019",1,Adult
Illinois,"August 21, 2019",1,Adult
Pennsylvania,"August 20, 2019",1,Adult
Florida,"August 18, 2019",1,Adult
California,"August 17, 2019",1,Adult
Oklahoma,"August 17, 2019",1,Adult
Kansas,"August 17, 2019",1,Adult
Ohio,"August 17, 2019",1,Adult
Texas,"August 16, 2019",1,Adult
Alabama,"August 16, 2019",1,Adult
West Virginia,"August 14, 2019",1,Adult
Arizona,"August 14, 2019",1,Adult
Texas,"August 14, 2019",1,Adult
Utah,"August 14, 2019",1,Adult
Nevada,"August 12, 2019",1,Adult
Michigan,"August 11, 2019",1,Adult
Ohio,"August 11, 2019",1,Adult
Ohio,"August 10, 2019",1,Adult
Kansas,"August 8, 2019",1,Adult
Illinois,"August 8, 2019",1,Adult
New York,"August 6, 2019",1,Adult
Alabama,"August 5, 2019",1,Adult
Louisiana,"August 4, 2019",1,Adult
Virginia,"August 2, 2019",1,Adult
Texas,"August 1, 2019",1,Adult
Montana,"August 1, 2019",1,Adult
Arkansas,"August 1, 2019",1,Adult
Arizona,"July 30, 2019",1,Adult
Arizona,"July 30, 2019",1,Adult
Pennsylvania,"July 29, 2019",1,Adult
Illinois,"July 28, 2019",1,Adult
Alaska,"July 27, 2019",1,Adult
Illinois,"July 26, 2019",1,Adult
Texas,"July 26, 2019",1,Adult
New Jersey,"July 25, 2019",1,Adult
Texas,"July 24, 2019",1,Adult
Texas,"July 24, 2019",1,Adult
Ohio,"July 24, 2019",1,Adult
Georgia,"July 22, 2019",1,Adult
Louisiana,"July 21, 2019",1,Adult
Virginia,"July 21, 2019",1,Adult
Maryland,"July 21, 2019",1,Adult
Mississippi,"July 21, 2019",1,Adult
Missouri,"July 20, 2019",1,Adult
Texas,"July 20, 2019",1,Adult
Mississippi,"July 20, 2019",1,Adult
Oklahoma,"July 19, 2019",1,Adult
Texas,"July 18, 2019",1,Adult
Illinois,"July 17, 2019",1,Adult
Texas,"July 17, 2019",2,Adult
Missouri,"July 17, 2019",1,Adult
Colorado,"July 14, 2019",1,Adult
Arizona,"July 14, 2019",1,Adult
Texas,"July 12, 2019",1,Adult
Michigan,"July 11, 2019",1,Adult
Indiana,"July 7, 2019",1,Adult
Montana,"July 6, 2019",1,Adult
Utah,"July 6, 2019",2,Adult
Indiana,"July 6, 2019",1,Adult
Arizona,"July 2, 2019",1,Adult
Washington,"July 2, 2019",1,Adult
Arizona,"June 30, 2019",1,Adult
Louisiana,"June 30, 2019",1,Adult
Louisiana,"June 28, 2019",1,Adult
West Virginia,"June 28, 2019",1,Adult
Mississippi,"June 28, 2019",1,Adult
Kentucky,"June 26, 2019",1,Adult
Tennessee,"June 24, 2019",1,Adult
California,"June 24, 2019",1,Adult
Mississippi,"June 23, 2019",1,Adult
Texas,"June 21, 2019",1,Adult
South Carolina,"June 20, 2019",1,Adult
Indiana,"June 19, 2019",1,Adult
Oregon,"June 19, 2019",1,Adult
Wisconsin,"June 18, 2019",1,Adult
Wisconsin,"June 17, 2019",1,Adult
Alabama,"June 16, 2019",1,Adult
Texas,"June 16, 2019",1,Adult
Georgia,"June 12, 2019",1,Adult
Kentucky,"June 11, 2019",1,Adult
Mississippi,"June 10, 2019",1,Adult
South Carolina,"June 10, 2019",1,Adult
Alabama,"June 9, 2019",1,Adult
Idaho,"June 9, 2019",1,Adult
North Carolina,"June 8, 2019",1,Adult
West Virginia,"June 7, 2019",1,Adult
Arizona,"June 7, 2019",1,Adult
Texas,"June 7, 2019",1,Adult
Wisconsin,"June 7, 2019",1,Adult
Ohio,"June 6, 2019",1,Adult
Texas,"June 3, 2019",1,Adult
Oklahoma,"June 2, 2019",1,Adult
Tennessee,"June 2, 2019",1,Adult
Maryland,"June 1, 2019",1,Adult
Oklahoma,"May 31, 2019",1,Adult
South Carolina,"May 30, 2019",1,Adult
Mississippi,"May 30, 2019",1,Adult
Mississippi,"May 28, 2019",1,Adult
Florida,"May 27, 2019",1,Adult
Arizona,"May 27, 2019",1,Adult
Florida,"May 27, 2019",1,Adult
Georgia,"May 27, 2019",1,Adult
Alabama,"May 26, 2019",1,Adult
Arizona,"May 26, 2019",1,Adult
Virginia,"May 26, 2019",1,Adult
Florida,"May 26, 2019",1,Adult
Washington,"May 26, 2019",1,Adult
Tennessee,"May 25, 2019",1,Adult
Louisiana,"May 25, 2019",1,Adult
Ohio,"May 21, 2019",1,Adult
South Carolina,"May 19, 2019",1,Adult
Missouri,"May 17, 2019",1,Adult
Arkansas,"May 17, 2019",1,Adult
Oklahoma,"May 16, 2019",1,Adult
Ohio,"May 15, 2019",1,Adult
Missouri,"May 14, 2019",1,Adult
Illinois,"May 13, 2019",1,Adult
California,"May 12, 2019",1,Adult
Ohio,"May 12, 2019",1,Adult
Montana,"May 12, 2019",1,Adult
Tennessee,"May 11, 2019",1,Adult
Texas,"May 11, 2019",1,Adult
Tennessee,"May 11, 2019",1,Adult
Idaho,"May 11, 2019",1,Adult
